Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Loss_Flag,etl_timestamp,etl_version
2017,Women,Basketball,Air Jordan,9,4.0,6110.030000000001,0.0,24440.120000000003,2024-12-21,Retail,Delhi,1946.24,False,2025-10-11 00:05:53.713586,2.0
2020,Kids,Soccer,Tiempo Legend,L,1.0,6110.030000000001,0.67,6069.092799,2024-12-21,Retail,Mumbai,439.96,False,2025-10-11 00:05:53.713586,2.0
2021,Men,Running,Free RN,L,1.0,7086.7,0.66,7039.927779999999,2024-12-21,Retail,Hyderabad,-1120.49,True,2025-10-11 00:05:53.713586,2.0
2022,Women,Soccer,Premier III,M,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Pune,3427.16,False,2025-10-11 00:05:53.713586,2.0
2023,Men,Lifestyle,Waffle One,M,2.0,5003.95,0.0,10007.9,2024-12-21,Online,Mumbai,1498.37,False,2025-10-11 00:05:53.713586,2.0
2026,Kids,Lifestyle,Blazer Mid,XL,1.0,6110.030000000001,0.16,6100.253952,2024-08-10,Retail,Kolkata,2301.64,False,2025-10-11 00:05:53.713586,2.0
2027,Men,Basketball,Zoom Freak,XL,2.0,6110.030000000001,0.22,12193.175868000002,2024-12-21,Online,Pune,-138.74,True,2025-10-11 00:05:53.713586,2.0
2028,Men,Training,Flex Trainer,12,2.0,3270.23,0.0,6540.46,2024-12-21,Retail,Delhi,-946.86,True,2025-10-11 00:05:53.713586,2.0
2030,Men,Soccer,Phantom GT,XL,2.0,6110.030000000001,1.05,12091.749370000001,2024-12-21,Retail,Hyderabad,-122.93,True,2025-10-11 00:05:53.713586,2.0
2031,Men,Soccer,Premier III,L,4.0,3493.04,0.82,13857.588288,2024-05-09,Online,Delhi,350.7,False,2025-10-11 00:05:53.713586,2.0
2032,Women,Lifestyle,Blazer Mid,XL,1.0,6110.030000000001,1.07,6044.652679000001,2024-12-21,Retail,Mumbai,-555.16,True,2025-10-11 00:05:53.713586,2.0
2033,Men,Soccer,Mercurial Superfly,XL,1.0,6110.030000000001,0.0,6110.030000000001,2024-12-21,Retail,Kolkata,-1005.71,True,2025-10-11 00:05:53.713586,2.0
2034,Men,Basketball,Air Jordan,6,2.0,6235.71,0.0,12471.42,2024-12-21,Retail,Delhi,-267.37,True,2025-10-11 00:05:53.713586,2.0
2035,Kids,Basketball,Zoom Freak,L,4.0,6110.030000000001,0.38,24347.247544,2024-12-21,Online,Bangalore,2914.83,False,2025-10-11 00:05:53.713586,2.0
2036,Men,Training,Metcon 7,L,3.0,6110.030000000001,0.0,18330.090000000004,2024-12-21,Retail,Bangalore,-143.8,True,2025-10-11 00:05:53.713586,2.0
2037,Kids,Running,Pegasus Turbo,7,3.0,5653.14,1.01,16788.129858,2024-12-21,Retail,Pune,2776.96,False,2025-10-11 00:05:53.713586,2.0
2039,Women,Training,Flex Trainer,M,2.0,2767.7,0.63,5500.52698,2024-12-21,Retail,Hyderabad,-336.3,True,2025-10-11 00:05:53.713586,2.0
2041,Kids,Soccer,Tiempo Legend,12,2.0,5553.88,0.0,11107.76,2024-12-21,Online,Hyderabad,2371.66,False,2025-10-11 00:05:53.713586,2.0
2042,Women,Basketball,Kyrie Flytrap,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Hyderabad,-862.16,True,2025-10-11 00:05:53.713586,2.0
2043,Men,Soccer,Premier III,XL,2.0,3492.89,0.77,6931.9894939999995,2024-05-02,Retail,Delhi,3770.75,False,2025-10-11 00:05:53.713586,2.0
2044,Kids,Training,SuperRep Go,L,2.0,6110.030000000001,0.0,12220.060000000001,2023-09-06,Online,Delhi,2174.71,False,2025-10-11 00:05:53.713586,2.0
2045,Kids,Lifestyle,Dunk Low,XL,4.0,6110.030000000001,0.0,24440.120000000003,2025-04-06,Retail,Delhi,1833.94,False,2025-10-11 00:05:53.713586,2.0
2046,Kids,Running,Air Zoom,12,2.0,6110.030000000001,1.04,12092.971376000001,2024-12-21,Online,Kolkata,1284.33,False,2025-10-11 00:05:53.713586,2.0
2047,Women,Training,SuperRep Go,10,1.0,8577.75,0.0,8577.75,2024-06-13,Retail,Bangalore,2888.68,False,2025-10-11 00:05:53.713586,2.0
2048,Women,Basketball,Air Jordan,XL,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Bangalore,2875.86,False,2025-10-11 00:05:53.713586,2.0
2049,Kids,Soccer,Tiempo Legend,L,1.0,7767.2,0.0,7767.2,2024-12-21,Retail,Pune,311.48,False,2025-10-11 00:05:53.713586,2.0
2050,Men,Running,Air Zoom,L,1.0,6110.030000000001,0.57,6075.202829000001,2024-12-21,Retail,Kolkata,682.12,False,2025-10-11 00:05:53.713586,2.0
2051,Women,Basketball,Air Jordan,XL,2.0,6110.030000000001,0.37,12174.845778,2024-01-05,Retail,Delhi,3135.98,False,2025-10-11 00:05:53.713586,2.0
2053,Men,Lifestyle,Air Force 1,XL,3.0,6009.58,0.0,18028.739999999998,2024-12-21,Online,Delhi,3384.92,False,2025-10-11 00:05:53.713586,2.0
2054,Women,Training,Flex Trainer,11,1.0,6110.030000000001,0.0,6110.030000000001,2024-12-21,Online,Mumbai,-549.76,True,2025-10-11 00:05:53.713586,2.0
2055,Men,Basketball,Kyrie Flytrap,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Hyderabad,-1078.76,True,2025-10-11 00:05:53.713586,2.0
2056,Men,Running,React Infinity,L,3.0,6110.030000000001,0.0,18330.090000000004,2024-05-31,Retail,Bangalore,-244.44,True,2025-10-11 00:05:53.713586,2.0
2058,Women,Training,Flex Trainer,11,2.0,4985.92,0.0,9971.84,2024-12-21,Online,Kolkata,361.54,False,2025-10-11 00:05:53.713586,2.0
2059,Kids,Soccer,Phantom GT,L,1.0,9507.54,0.0,9507.54,2023-12-27,Retail,Delhi,291.28,False,2025-10-11 00:05:53.713586,2.0
2060,Men,Lifestyle,Waffle One,L,2.0,7979.26,0.0,15958.52,2024-07-11,Online,Bangalore,2821.59,False,2025-10-11 00:05:53.713586,2.0
2061,Women,Basketball,LeBron 20,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Mumbai,-501.68,True,2025-10-11 00:05:53.713586,2.0
2062,Men,Basketball,Air Jordan,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Bangalore,1823.91,False,2025-10-11 00:05:53.713586,2.0
2063,Women,Basketball,Air Jordan,M,1.0,9751.0,0.16,9735.3984,2024-12-21,Retail,Pune,1130.31,False,2025-10-11 00:05:53.713586,2.0
2064,Kids,Running,React Infinity,L,2.0,7557.71,0.0,15115.42,2024-12-21,Online,Bangalore,3277.44,False,2025-10-11 00:05:53.713586,2.0
2065,Women,Lifestyle,Waffle One,10,2.0,6110.030000000001,0.78,12124.743532,2024-02-11,Retail,Hyderabad,21.58,False,2025-10-11 00:05:53.713586,2.0
2066,Men,Soccer,Phantom GT,XL,1.0,5259.05,0.0,5259.05,2024-12-10,Online,Mumbai,1022.82,False,2025-10-11 00:05:53.713586,2.0
2067,Kids,Basketball,LeBron 20,L,4.0,3588.38,0.0,14353.52,2024-12-21,Online,Kolkata,161.5,False,2025-10-11 00:05:53.713586,2.0
2068,Men,Running,Free RN,L,4.0,2553.29,0.0,10213.16,2024-12-21,Retail,Mumbai,984.9,False,2025-10-11 00:05:53.713586,2.0
2069,Women,Training,SuperRep Go,L,2.0,7502.24,0.0,15004.48,2025-07-14,Online,Pune,3554.58,False,2025-10-11 00:05:53.713586,2.0
2070,Kids,Running,React Infinity,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Mumbai,1112.43,False,2025-10-11 00:05:53.713586,2.0
2071,Kids,Lifestyle,Blazer Mid,M,3.0,7849.81,0.49,23434.037793,2024-12-21,Retail,Pune,-882.96,True,2025-10-11 00:05:53.713586,2.0
2072,Men,Training,Flex Trainer,L,3.0,6110.030000000001,0.0,18330.090000000004,2024-12-21,Retail,Pune,3639.2,False,2025-10-11 00:05:53.713586,2.0
2073,Women,Lifestyle,Blazer Mid,12,4.0,6110.030000000001,0.85,24232.378980000005,2024-12-21,Online,Hyderabad,443.86,False,2025-10-11 00:05:53.713586,2.0
2074,Men,Training,Flex Trainer,L,1.0,6110.030000000001,0.57,6075.202829000001,2024-12-21,Online,Kolkata,1958.47,False,2025-10-11 00:05:53.713586,2.0
2075,Kids,Basketball,Air Jordan,L,4.0,4251.74,0.0,17006.96,2024-12-21,Online,Pune,2345.35,False,2025-10-11 00:05:53.713586,2.0
2076,Women,Training,ZoomX Invincible,11,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Bangalore,2011.25,False,2025-10-11 00:05:53.713586,2.0
2077,Men,Training,ZoomX Invincible,L,2.0,6110.030000000001,0.0,12220.060000000001,2023-11-21,Online,Pune,3332.66,False,2025-10-11 00:05:53.713586,2.0
2079,Men,Running,Pegasus Turbo,XL,1.0,4322.06,0.0,4322.06,2024-12-21,Online,Bangalore,279.78,False,2025-10-11 00:05:53.713586,2.0
2080,Men,Lifestyle,Blazer Mid,L,2.0,6110.030000000001,0.0,12220.060000000001,2025-03-31,Online,Bangalore,-1005.89,True,2025-10-11 00:05:53.713586,2.0
2081,Men,Training,ZoomX Invincible,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Mumbai,2810.49,False,2025-10-11 00:05:53.713586,2.0
2083,Men,Running,Free RN,L,2.0,9291.74,0.0,18583.48,2024-12-21,Retail,Delhi,-981.21,True,2025-10-11 00:05:53.713586,2.0
2084,Men,Training,Metcon 7,M,2.0,6110.030000000001,0.0,12220.060000000001,2023-12-24,Online,Mumbai,408.39,False,2025-10-11 00:05:53.713586,2.0
2085,Men,Basketball,Kyrie Flytrap,L,2.0,7561.85,0.0,15123.7,2024-12-21,Retail,Kolkata,98.72,False,2025-10-11 00:05:53.713586,2.0
2087,Kids,Basketball,Zoom Freak,L,2.0,4656.28,0.0,9312.56,2024-12-21,Online,Kolkata,3777.5,False,2025-10-11 00:05:53.713586,2.0
2088,Women,Running,Free RN,XL,4.0,6110.030000000001,0.0,24440.120000000003,2024-12-21,Online,Bangalore,2702.93,False,2025-10-11 00:05:53.713586,2.0
2089,Women,Training,Flex Trainer,L,2.0,6874.77,0.6,13667.04276,2024-12-21,Online,Mumbai,-1076.66,True,2025-10-11 00:05:53.713586,2.0
2090,Kids,Lifestyle,Dunk Low,8,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Bangalore,163.15,False,2025-10-11 00:05:53.713586,2.0
2091,Kids,Running,Air Zoom,11,2.0,9246.88,0.0,18493.76,2024-12-21,Retail,Mumbai,1917.55,False,2025-10-11 00:05:53.713586,2.0
2092,Kids,Basketball,Zoom Freak,XL,2.0,6110.030000000001,1.13,12081.973322000002,2024-12-21,Online,Delhi,207.2,False,2025-10-11 00:05:53.713586,2.0
2094,Kids,Training,Flex Trainer,10,1.0,4276.36,0.0,4276.36,2024-12-21,Retail,Delhi,2974.58,False,2025-10-11 00:05:53.713586,2.0
2095,Men,Lifestyle,Waffle One,M,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Delhi,880.57,False,2025-10-11 00:05:53.713586,2.0
2096,Men,Running,Pegasus Turbo,XL,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Kolkata,288.66,False,2025-10-11 00:05:53.713586,2.0
2097,Women,Training,ZoomX Invincible,XL,2.0,7978.89,0.0,15957.78,2024-12-21,Online,Bangalore,769.05,False,2025-10-11 00:05:53.713586,2.0
2098,Men,Training,ZoomX Invincible,L,2.0,5690.69,0.69,11302.848478,2024-01-24,Online,Hyderabad,98.3,False,2025-10-11 00:05:53.713586,2.0
2099,Kids,Soccer,Mercurial Superfly,M,2.0,6110.030000000001,0.32,12180.955808000002,2024-12-21,Retail,Mumbai,360.97,False,2025-10-11 00:05:53.713586,2.0
2100,Kids,Soccer,Phantom GT,8,1.0,5937.52,0.0,5937.52,2025-07-11,Retail,Mumbai,2287.57,False,2025-10-11 00:05:53.713586,2.0
2101,Kids,Running,Free RN,XL,2.0,2010.07,0.0,4020.14,2024-12-21,Online,Hyderabad,3398.01,False,2025-10-11 00:05:53.713586,2.0
2102,Women,Soccer,Mercurial Superfly,XL,1.0,6110.030000000001,0.77,6062.982769,2024-12-21,Online,Pune,284.17,False,2025-10-11 00:05:53.713586,2.0
2103,Women,Basketball,LeBron 20,XL,1.0,6777.88,0.0,6777.88,2024-12-21,Online,Kolkata,469.61,False,2025-10-11 00:05:53.713586,2.0
2104,Men,Basketball,Kyrie Flytrap,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Delhi,2905.91,False,2025-10-11 00:05:53.713586,2.0
2105,Kids,Training,Metcon 7,L,2.0,5744.7,0.0,11489.4,2024-12-21,Retail,Mumbai,1716.04,False,2025-10-11 00:05:53.713586,2.0
2106,Women,Running,Free RN,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Bangalore,76.95,False,2025-10-11 00:05:53.713586,2.0
2107,Women,Running,React Infinity,M,4.0,6110.030000000001,0.0,24440.120000000003,2024-12-21,Online,Hyderabad,-184.69,True,2025-10-11 00:05:53.713586,2.0
2108,Kids,Lifestyle,Air Force 1,XL,2.0,6110.030000000001,0.27,12187.065838,2024-12-21,Retail,Mumbai,-338.77,True,2025-10-11 00:05:53.713586,2.0
2110,Kids,Running,Air Zoom,12,1.0,6110.030000000001,0.42,6084.3678740000005,2024-12-25,Retail,Pune,-259.29,True,2025-10-11 00:05:53.713586,2.0
2111,Men,Lifestyle,Waffle One,L,2.0,6110.030000000001,1.14,12080.751316000002,2024-12-21,Retail,Bangalore,1326.67,False,2025-10-11 00:05:53.713586,2.0
2112,Women,Training,Metcon 7,L,2.0,2201.54,0.0,4403.08,2024-12-21,Retail,Bangalore,697.42,False,2025-10-11 00:05:53.713586,2.0
2113,Women,Basketball,Air Jordan,XL,2.0,3939.34,0.0,7878.68,2023-12-19,Retail,Pune,2918.93,False,2025-10-11 00:05:53.713586,2.0
2114,Women,Training,Flex Trainer,XL,1.0,3167.33,0.53,3150.543151,2024-12-21,Retail,Pune,1567.37,False,2025-10-11 00:05:53.713586,2.0
2115,Kids,Soccer,Phantom GT,6,2.0,7607.45,0.0,15214.9,2024-12-21,Online,Kolkata,1969.03,False,2025-10-11 00:05:53.713586,2.0
2116,Women,Basketball,LeBron 20,L,2.0,4038.32,1.13,7985.373968000001,2024-12-21,Online,Hyderabad,2088.55,False,2025-10-11 00:05:53.713586,2.0
2118,Kids,Basketball,Zoom Freak,XL,2.0,8426.54,0.0,16853.08,2023-09-21,Online,Hyderabad,2696.85,False,2025-10-11 00:05:53.713586,2.0
2119,Women,Training,Metcon 7,11,1.0,6110.030000000001,0.41,6084.9788770000005,2024-12-21,Retail,Kolkata,2887.81,False,2025-10-11 00:05:53.713586,2.0
2120,Men,Soccer,Phantom GT,12,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Pune,-328.0,True,2025-10-11 00:05:53.713586,2.0
2123,Men,Running,Air Zoom,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Hyderabad,2195.52,False,2025-10-11 00:05:53.713586,2.0
2124,Kids,Basketball,Kyrie Flytrap,L,2.0,6436.11,1.24,12712.604471999999,2024-12-21,Online,Kolkata,432.04,False,2025-10-11 00:05:53.713586,2.0
2125,Women,Soccer,Tiempo Legend,M,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Hyderabad,1051.22,False,2025-10-11 00:05:53.713586,2.0
2126,Kids,Running,Pegasus Turbo,L,1.0,5399.58,0.0,5399.58,2024-12-21,Retail,Pune,2508.34,False,2025-10-11 00:05:53.713586,2.0
2127,Men,Training,Metcon 7,L,1.0,4020.5,0.0,4020.5,2023-08-19,Online,Mumbai,3718.37,False,2025-10-11 00:05:53.713586,2.0
2128,Women,Basketball,LeBron 20,L,2.0,8750.71,0.0,17501.42,2024-12-21,Retail,Bangalore,1411.29,False,2025-10-11 00:05:53.713586,2.0
2129,Men,Basketball,Zoom Freak,9,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Delhi,841.4,False,2025-10-11 00:05:53.713586,2.0
2130,Men,Soccer,Premier III,10,3.0,6110.030000000001,0.24,18286.097784000005,2024-12-21,Online,Bangalore,2962.75,False,2025-10-11 00:05:53.713586,2.0
2131,Kids,Running,Free RN,XL,2.0,5561.82,0.0,11123.64,2024-12-21,Retail,Mumbai,2227.48,False,2025-10-11 00:05:53.713586,2.0
2132,Men,Running,Free RN,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Delhi,3882.22,False,2025-10-11 00:05:53.713586,2.0
2133,Men,Training,Metcon 7,XL,2.0,6789.53,0.0,13579.06,2024-12-21,Retail,Pune,-166.81,True,2025-10-11 00:05:53.713586,2.0
2134,Men,Training,ZoomX Invincible,M,2.0,4738.62,0.0,9477.24,2024-12-21,Online,Hyderabad,1009.28,False,2025-10-11 00:05:53.713586,2.0
2135,Men,Basketball,Zoom Freak,L,2.0,9106.61,0.74,18078.442172000003,2024-11-03,Retail,Hyderabad,2422.38,False,2025-10-11 00:05:53.713586,2.0
2136,Kids,Training,ZoomX Invincible,L,1.0,6110.030000000001,0.0,6110.030000000001,2024-09-15,Online,Pune,3672.24,False,2025-10-11 00:05:53.713586,2.0
2138,Men,Running,Pegasus Turbo,11,2.0,8055.2,0.0,16110.4,2024-12-21,Online,Mumbai,1840.09,False,2025-10-11 00:05:53.713586,2.0
2139,Women,Basketball,Air Jordan,M,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Mumbai,-334.52,True,2025-10-11 00:05:53.713586,2.0
2140,Men,Basketball,Zoom Freak,M,2.0,6765.74,0.0,13531.48,2024-12-21,Online,Bangalore,-875.45,True,2025-10-11 00:05:53.713586,2.0
2141,Kids,Soccer,Tiempo Legend,L,2.0,6110.030000000001,1.1,12085.639340000002,2023-11-22,Retail,Kolkata,-1032.47,True,2025-10-11 00:05:53.713586,2.0
2142,Kids,Soccer,Mercurial Superfly,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-10-03,Retail,Kolkata,-995.59,True,2025-10-11 00:05:53.713586,2.0
2143,Kids,Training,ZoomX Invincible,L,1.0,6110.030000000001,0.0,6110.030000000001,2024-12-21,Online,Delhi,1006.66,False,2025-10-11 00:05:53.713586,2.0
2144,Women,Lifestyle,Waffle One,L,4.0,6110.030000000001,0.0,24440.120000000003,2024-12-21,Online,Kolkata,2385.1,False,2025-10-11 00:05:53.713586,2.0
2146,Kids,Basketball,Air Jordan,XL,2.0,6110.030000000001,1.12,12083.195328000002,2024-12-21,Retail,Mumbai,-908.85,True,2025-10-11 00:05:53.713586,2.0
2147,Women,Soccer,Phantom GT,XL,1.0,6110.030000000001,0.0,6110.030000000001,2024-09-14,Online,Hyderabad,-426.53,True,2025-10-11 00:05:53.713586,2.0
2148,Men,Basketball,Kyrie Flytrap,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Hyderabad,520.55,False,2025-10-11 00:05:53.713586,2.0
2149,Women,Running,Pegasus Turbo,L,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Kolkata,-595.69,True,2025-10-11 00:05:53.713586,2.0
2150,Women,Basketball,LeBron 20,M,2.0,3313.21,0.48,6594.613184,2024-12-21,Online,Bangalore,3221.62,False,2025-10-11 00:05:53.713586,2.0
2151,Kids,Soccer,Tiempo Legend,L,4.0,5619.75,0.0,22479.0,2025-05-27,Online,Bangalore,2000.85,False,2025-10-11 00:05:53.713586,2.0
2152,Women,Running,Free RN,8,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Online,Bangalore,3819.41,False,2025-10-11 00:05:53.713586,2.0
2154,Kids,Lifestyle,Blazer Mid,XL,2.0,2963.16,0.0,5926.32,2025-04-01,Online,Bangalore,2381.85,False,2025-10-11 00:05:53.713586,2.0
2155,Men,Soccer,Phantom GT,L,3.0,6110.030000000001,0.0,18330.090000000004,2024-12-21,Online,Hyderabad,1475.15,False,2025-10-11 00:05:53.713586,2.0
2157,Kids,Soccer,Premier III,L,1.0,6110.030000000001,0.0,6110.030000000001,2024-12-21,Online,Delhi,-701.01,True,2025-10-11 00:05:53.713586,2.0
2158,Women,Running,React Infinity,M,1.0,6110.030000000001,0.5,6079.479850000001,2024-12-21,Online,Mumbai,514.79,False,2025-10-11 00:05:53.713586,2.0
2159,Women,Training,ZoomX Invincible,XL,2.0,3987.65,0.0,7975.3,2024-12-21,Retail,Delhi,2781.72,False,2025-10-11 00:05:53.713586,2.0
2160,Kids,Running,Air Zoom,XL,2.0,6110.030000000001,0.0,12220.060000000001,2025-03-01,Retail,Mumbai,3744.91,False,2025-10-11 00:05:53.713586,2.0
2162,Men,Lifestyle,Blazer Mid,8,2.0,7662.11,0.0,15324.22,2024-12-21,Online,Mumbai,2398.55,False,2025-10-11 00:05:53.713586,2.0
2163,Men,Lifestyle,Dunk Low,7,2.0,6110.030000000001,1.24,12068.531256000002,2024-12-21,Retail,Hyderabad,3344.98,False,2025-10-11 00:05:53.713586,2.0
2165,Kids,Training,SuperRep Go,L,4.0,4577.65,0.0,18310.6,2024-12-21,Retail,Kolkata,2460.19,False,2025-10-11 00:05:53.713586,2.0
2166,Women,Lifestyle,Air Force 1,M,2.0,7312.38,0.0,14624.76,2024-12-21,Online,Mumbai,3364.05,False,2025-10-11 00:05:53.713586,2.0
2167,Men,Running,React Infinity,XL,3.0,3055.79,0.0,9167.369999999999,2024-12-21,Retail,Mumbai,1259.58,False,2025-10-11 00:05:53.713586,2.0
2168,Women,Running,Pegasus Turbo,L,2.0,6110.030000000001,0.85,12116.189490000002,2024-08-01,Retail,Kolkata,3011.49,False,2025-10-11 00:05:53.713586,2.0
2169,Kids,Training,Flex Trainer,L,4.0,4046.05,0.01,16182.58158,2024-12-21,Retail,Delhi,1057.58,False,2025-10-11 00:05:53.713586,2.0
2172,Women,Training,ZoomX Invincible,M,2.0,7988.99,1.2,15786.24424,2024-12-21,Online,Bangalore,-909.86,True,2025-10-11 00:05:53.713586,2.0
2173,Men,Running,Free RN,L,1.0,6620.78,0.0,6620.78,2024-12-21,Online,Bangalore,3770.03,False,2025-10-11 00:05:53.713586,2.0
2174,Women,Soccer,Phantom GT,L,2.0,3883.92,0.0,7767.84,2024-12-21,Retail,Pune,428.5,False,2025-10-11 00:05:53.713586,2.0
2175,Women,Lifestyle,Blazer Mid,L,2.0,6110.030000000001,1.16,12078.307304,2024-12-21,Online,Pune,2457.78,False,2025-10-11 00:05:53.713586,2.0
2176,Men,Soccer,Mercurial Superfly,L,4.0,6110.030000000001,0.0,24440.120000000003,2024-12-21,Online,Bangalore,3908.28,False,2025-10-11 00:05:53.713586,2.0
2177,Women,Lifestyle,Waffle One,XL,2.0,6110.030000000001,0.0,12220.060000000001,2025-06-27,Retail,Mumbai,885.37,False,2025-10-11 00:05:53.713586,2.0
2178,Men,Running,Free RN,L,1.0,6110.030000000001,0.0,6110.030000000001,2024-12-21,Retail,Bangalore,-983.37,True,2025-10-11 00:05:53.713586,2.0
2179,Women,Training,ZoomX Invincible,M,3.0,6110.030000000001,0.0,18330.090000000004,2024-01-26,Retail,Pune,3135.92,False,2025-10-11 00:05:53.713586,2.0
2180,Women,Basketball,LeBron 20,XL,2.0,6110.030000000001,0.0,12220.060000000001,2024-05-15,Online,Pune,2189.84,False,2025-10-11 00:05:53.713586,2.0
2181,Women,Lifestyle,Air Force 1,XL,2.0,6110.030000000001,0.0,12220.060000000001,2024-12-21,Retail,Delhi,419.58,False,2025-10-11 00:05:53.713586,2.0
2182,Kids,Basketball,Zoom Freak,11,2.0,7214.55,0.0,14429.1,2024-12-21,Online,Mumbai,-662.77,True,2025-10-11 00:05:53.713586,2.0
2183,Kids,Lifestyle,Waffle One,M,2.0,5389.56,0.0,10779.12,2024-12-21,Online,Pune,2927.93,False,2025-10-11 00:05:53.713586,2.0
2184,Men,Soccer,Mercurial Superfly,XL,4.0,6110.030000000001,0.0,24440.120000000003,2024-12-21,Retail,Hyderabad,1980.73,False,2025-10-11 00:05:53.713586,2.0
2185,Women,Training,ZoomX Invincible,XL,4.0,4207.44,0.59,16730.464416,2024-12-21,Online,Kolkata,-615.48,True,2025-10-11 00:05:53.713586,2.0
2187,Men,Running,React Infinity,L,2.0,7795.32,0.0,15590.64,2024-12-21,Online,Mumbai,2402.99,False,2025-10-11 00:05:53.713586,2.0
